,property_type,tenure,built_year,num_beds,num_baths,size_sqft,total_num_units,lat,lng,subzone,planning_area,price
9516,executive condo,99-year leasehold,2014.0,4.0,3.0,1249,602.0,1.38971025,103.7698510321388,saujana,bukit panjang,1764000.0
9517,condo,99-year leasehold,1999.0,3.0,3.0,1432,372.0,1.3510147,103.86351067630008,lorong chuan,serangoon,2289000.0
9518,hdb,99-year leasehold,2000.0,3.0,2.0,1238,375.360850381067,1.28041685,103.81253013894946,depot road,bukit merah,903000.0
9520,executive condo,99-year leasehold,2017.0,4.0,2.0,1216,651.0,1.3997054,103.89091928493724,anchorvale,sengkang,1575000.0
9522,semi-detached house,freehold,2023.121794871795,6.0,5.0,5200,375.360850381067,1.4405369,103.82607667170107,sembawang springs,sembawang,6489000.0
9524,condo,99-year leasehold,2023.0,3.0,2.0,1076,1862.0,1.28715825,103.79213778715592,kent ridge,queenstown,2097900.0
9527,hdb,99-year leasehold,1985.0,3.0,2.0,1151,375.360850381067,1.3480917,103.74749091782908,bukit batok central,bukit batok,596400.0
9528,condo,freehold,2023.0,3.0,2.0,883,237.0,1.32970335,103.90568292831622,kaki bukit,bedok,1829000.0
9530,condo,freehold,2017.0,3.0,4.0,1776,77.0,1.30348325,103.82468956573264,tanglin,orchard,6806500.0
9532,hdb,99-year leasehold,2016.0,3.0,2.0,1001,375.360850381067,1.3195394500000002,103.76413876822087,clementi north,clementi,944000.0
9533,hdb,99-year leasehold,1997.0,4.0,2.0,1345,72.0,1.3610059,103.95861523102494,tampines east,tampines,834800.0
9535,condo,freehold,2023.0,4.0,4.0,1378,340.0,1.3159611,103.836848,moulmein,novena,3873400.0
9536,apartment,99-year leasehold,2017.0,1.0,1.0,752,266.0,1.3288481,103.86903884851766,sennett,toa payoh,1312500.0
9537,hdb,99-year leasehold,1997.0,4.0,2.0,1517,375.360850381067,1.35906595,103.93359979902928,tampines west,tampines,892500.0
9539,condo,freehold,2015.0,4.0,4.0,3767,40.0,1.30319435,103.82966395,one tree hill,river valley,21479800.0
9540,terraced house,99-year leasehold,1998.0,5.0,5.0,4000,123.0,1.28553725,103.81714306069205,redhill,bukit merah,4200000.0
9541,condo,99-year leasehold,2020.0,2.0,1.0,926,752.0,1.3084724,103.83637882843551,cairnhill,newton,1365000.0
9542,bungalow,freehold,2008.8552631578948,5.0,8.0,7798,375.360850381067,1.3292661,103.81093081688778,hillcrest,bukit timah,16674000.0
9543,terraced house,99-year leasehold,2008.0,5.0,5.0,3440,375.360850381067,1.4406308,103.82311424793404,sembawang springs,sembawang,2625000.0
9544,condo,99-year leasehold,2023.0,1.0,1.0,527,1074.0,1.304855,103.77377633404797,dover,queenstown,1381800.0
9545,hdb,99-year leasehold,2004.0,3.0,2.0,1183,233.0,1.38662505,103.76016854804128,senja,bukit panjang,650000.0
9546,apartment,99-year leasehold,2022.0,4.0,4.0,1346,1259.0,1.2915204500000002,103.80511320990595,mei chin,queenstown,3307500.0
9547,condo,99-year leasehold,2022.0,2.0,2.0,657,1259.0,1.2915204500000002,103.80511320990595,mei chin,queenstown,1467900.0
9548,hdb,99-year leasehold,2003.0,3.0,2.0,947,375.360850381067,1.3934272,103.89226819532072,anchorvale,sengkang,556500.0
9549,condo,freehold,2025.0,2.0,1.0,614,319.0,1.310429,103.80282102340084,leedon park,bukit timah,1757100.0
9550,condo,99-year leasehold,2011.0,4.0,4.0,4919,1129.0,1.2667184,103.811492599035,maritime square,bukit merah,7854000.0
9551,condo,freehold,2025.0,3.0,2.0,893,34.0,1.3136277,103.8831086,aljunied,geylang,1674700.0
9552,hdb,99-year leasehold,2011.0,3.0,2.0,1292,375.360850381067,1.3560851,103.84347035831968,marymount,bishan,1375500.0
9553,apartment,freehold,2005.0,3.0,2.0,1701,37.0,1.3211456,103.8216426,nassim,tanglin,3307500.0
9554,hdb,99-year leasehold,2001.0,3.0,2.0,1194,102.0,1.3872543,103.7597827,senja,bukit panjang,582800.0
9555,condo,99-year leasehold,2016.0,2.0,2.0,786,530.0,1.3922204,103.91353488947236,punggol field,punggol,1037400.0
9556,condo,99-year leasehold,2025.0,3.0,2.0,1076,429.0,1.26522915,103.81751884226044,maritime square,bukit merah,2996700.0
9557,hdb,99-year leasehold,1975.0,2.0,2.0,634,375.360850381067,1.2783014499999998,103.82752982716076,kampong tiong bahru,bukit merah,420000.0
9558,condo,99-year leasehold,2026.0,4.0,4.0,1528,605.0,1.3859375,103.8344656879244,tagore,ang mo kio,3465000.0
9559,cluster house,99-year leasehold,2011.904761904762,4.0,4.0,3261,78.0,1.3874898,103.8570817,yio chu kang east,ang mo kio,3234000.0
9560,hdb,99-year leasehold,2003.0,3.0,2.0,980,375.360850381067,1.40278825,103.90541807123724,matilda,punggol,556500.0
9561,condo,99-year leasehold,2023.0,3.0,2.0,1120,1074.0,1.304855,103.77377633404797,dover,queenstown,2474800.0
9562,condo,99-year leasehold,2026.0,4.0,4.0,1410,407.0,1.31064045,103.85214926006608,kampong java,kallang,3011400.0
9563,condo,99-year leasehold,2023.0,4.0,3.0,1496,1074.0,1.304855,103.77377633404797,dover,queenstown,3073400.0
9564,bungalow,99-year leasehold,2010.0,6.0,5.0,11000,375.360850381067,1.2481118,103.8406065,sentosa,southern islands,22890000.0
9565,hdb,99-year leasehold,1971.0,2.0,1.0,731,375.360850381067,1.28741255,103.8284284,bukit ho swee,bukit merah,514500.0
9566,hdb,99-year leasehold,1978.0,2.0,2.0,721,218.0,1.31308435,103.76740054021462,clementi north,clementi,462000.0
9567,condo,freehold,2025.0,2.0,2.0,807,376.0,1.29410615,103.83673469533848,institution hill,river valley,2730000.0
9568,hdb,99-year leasehold,1997.0,3.0,2.0,1108,375.360850381067,1.3569835499999998,103.93407641448196,tampines west,tampines,588000.0
9569,hdb,99-year leasehold,1976.0,4.0,4.0,1442,375.360850381067,1.3651411,103.84172788267786,shangri-la,ang mo kio,1050000.0
9570,condo,freehold,2022.0,1.0,1.0,463,250.0,1.3443339,103.8786904,upper paya lebar,serangoon,1099400.0
9571,condo,99-year leasehold,2017.0,1.0,1.0,538,755.0,1.31857555,103.76180547850008,faber,clementi,1050000.0
9572,condo,freehold,2025.0,2.0,2.0,753,230.0,1.31730585,103.83260746060152,nassim,tanglin,2392500.0
9574,condo,99-year leasehold,2024.0,4.0,4.0,1668,298.0,1.29988105,103.88811428633838,mountbatten,marine parade,4286100.0
9575,condo,freehold,2015.0,1.0,1.0,517,62.0,1.311914,103.886988,macpherson,geylang,765300.0
9576,terraced house,freehold,1980.0,6.0,6.0,5760,1063.0,1.3714661,103.8287593,sembawang hills,ang mo kio,5649000.0
9577,hdb executive,99-year leasehold,1988.0,3.0,3.0,1571,50.0,1.42646335,103.84494385,yishun east,yishun,1102500.0
9578,hdb,99-year leasehold,2015.0,3.0,2.0,991,375.360850381067,1.4351629,103.8431004,northland,yishun,583700.0
9579,hdb,99-year leasehold,1999.0,3.0,2.0,1291,375.360850381067,1.3848662,103.7666294,saujana,bukit panjang,892500.0
9580,hdb,99-year leasehold,2017.0,3.0,2.0,1216,375.360850381067,1.398628,103.89699085395486,sengkang town centre,sengkang,774900.0
9581,condo,99-year leasehold,2024.0,2.0,1.0,743,522.0,1.29773195,103.8559134735316,bugis,downtown core,2037000.0
9582,hdb,99-year leasehold,1970.0,2.0,1.0,720,375.360850381067,1.3415132,103.84725326028708,toa payoh west,toa payoh,378000.0
9583,hdb,99-year leasehold,2001.0,3.0,2.0,1302,375.360850381067,1.28970785,103.8152854812608,alexandra hill,bukit merah,1047900.0
9584,hdb,99-year leasehold,1989.0,3.0,2.0,1302,90.0,1.3461364,103.6974234,yunnan,jurong west,543900.0
9585,condo,99-year leasehold,2013.0,3.0,3.0,1679,302.0,1.24114335,103.83961897005884,sentosa,southern islands,3738400.0
9586,condo,99-year leasehold,2026.0,2.0,2.0,732,115.0,1.3404645,103.88373309629344,joo seng,toa payoh,1467900.0
9587,hdb,99-year leasehold,2017.0,3.0,2.0,990,375.360850381067,1.377017,103.7401962,peng siang,choa chu kang,556500.0
9588,hdb,99-year leasehold,1979.0,3.0,2.0,990,375.360850381067,1.3329184500000002,103.92918156774462,bedok north,bedok,498800.0
9590,condo,99-year leasehold,2026.0,4.0,4.0,1755,696.0,1.29142015,103.84426811480154,clarke quay,singapore river,6116200.0
9591,hdb,99-year leasehold,1989.0,3.0,2.0,1119,375.360850381067,1.4187248,103.8339516,khatib,yishun,522900.0
9593,condo,99-year leasehold,2025.0,3.0,3.0,1324,219.0,1.29636395,103.857202171856,city hall,downtown core,4400600.0
9594,hdb,99-year leasehold,1996.0,3.0,2.0,1300,115.0,1.35551535,103.9619948488222,tampines east,tampines,630000.0
9595,executive condo,99-year leasehold,2027.0,3.0,2.0,958,616.0,1.4349279,103.8452818,yishun east,yishun,1155000.0
9596,apartment,99-year leasehold,2018.0,4.0,3.0,7244,1042.0,1.2761249,103.8532534,central subzone,downtown core,18199500.0
9597,hdb,99-year leasehold,1982.0,2.0,2.0,710,375.360850381067,1.3534827,103.88851435566232,lorong ah soo,hougang,420000.0
9598,hdb,99-year leasehold,2015.0,3.0,2.0,1216,960.0,1.35785365,103.93884363212943,tampines east,tampines,924000.0
9599,condo,freehold,2007.311004784689,3.0,2.0,1216,132.0,1.3011036,103.8985419,marine parade,marine parade,2940000.0
9601,condo,freehold,2022.0,3.0,2.0,915,115.0,1.3165593,103.8298930092109,nassim,tanglin,2782500.0
9602,condo,99-year leasehold,2026.0,5.0,5.0,3972,696.0,1.2915415,103.84517442690934,clarke quay,singapore river,18900000.0
9603,condo,freehold,2023.0,3.0,2.0,1163,340.0,1.3159611,103.836848,moulmein,novena,3386200.0
9605,hdb,99-year leasehold,2000.0,3.0,2.0,1195,96.0,1.3433274,103.7046709857786,jurong west central,jurong west,596400.0
9607,semi-detached house,freehold,1995.1617647058824,4.0,3.0,2600,375.360850381067,1.3250891,103.9081417,kembangan,bedok,5544000.0
9608,hdb,99-year leasehold,2015.0,3.0,2.0,947,375.360850381067,1.30217505,103.79643184224484,tanglin halt,queenstown,1005900.0
9609,semi-detached house,freehold,2008.8552631578948,4.0,4.0,3100,375.360850381067,1.3357523,103.8078211,hillcrest,bukit timah,8274000.0
9610,condo,freehold,2026.0,3.0,3.0,1173,137.0,1.3159484,103.8575892,lavender,kallang,2129400.0
9611,hdb,99-year leasehold,1975.0,2.0,1.0,753,375.360850381067,1.30411215,103.91727211344238,marine parade,marine parade,472500.0
9612,condo,99-year leasehold,2013.0,4.0,5.0,2906,26.0,1.30421445,103.82552838179288,tanglin,orchard,14679000.0
9613,condo,freehold,2022.0,3.0,4.0,1615,70.0,1.31735885,103.83802909608715,moulmein,novena,3864000.0
9614,condo,99-year leasehold,2022.0,2.0,1.0,646,729.0,1.33740345,103.8645277169664,potong pasir,toa payoh,1312500.0
9615,condo,freehold,2025.0,3.0,3.0,1055,319.0,1.310429,103.80282102340084,leedon park,bukit timah,2950500.0
9616,condo,99-year leasehold,2024.0,3.0,3.0,1023,219.0,1.4417104,103.82765897017129,sembawang springs,sembawang,1585500.0
9617,condo,99-year leasehold,2026.0,3.0,2.0,1000,605.0,1.3859375,103.8344656879244,tagore,ang mo kio,2089300.0
9618,hdb,99-year leasehold,1976.0,2.0,2.0,700,375.360850381067,1.31208845,103.89717015311447,geylang east,geylang,414800.0
9619,executive condo,99-year leasehold,2014.0,2.0,2.0,1003,406.0,1.4243288500000002,103.84822482554188,yishun east,yishun,945000.0
9620,hdb,99-year leasehold,1988.0,4.0,2.0,1367,96.0,1.3418413,103.68766827155125,yunnan,jurong west,546000.0
9621,hdb,99-year leasehold,2008.0,1.0,1.0,495,375.360850381067,1.3352591500000002,103.69475409578314,yunnan,jurong west,309800.0
9622,condo,freehold,2015.0,1.0,1.0,495,101.0,1.32956515,103.86824104469466,potong pasir,toa payoh,997500.0
9624,hdb,99-year leasehold,1989.0,3.0,2.0,1238,60.0,1.348447,103.849103,bishan east,bishan,892500.0
9625,hdb,99-year leasehold,1985.0,3.0,2.0,1119,124.0,1.3526859999999998,103.71641292907864,hong kah,jurong west,472500.0
9626,semi-detached house,freehold,2025.0,7.0,7.0,5537,6.0,1.30062,103.892783,mountbatten,marine parade,9076200.0
9627,hdb,99-year leasehold,2016.0,3.0,2.0,990,375.360850381067,1.322605,103.73769846049242,teban gardens,jurong east,651000.0
9628,condo,freehold,2024.0,4.0,3.0,1302,633.0,1.3393381,103.7638932,bukit batok south,bukit batok,2809800.0
9629,hdb executive,99-year leasehold,1993.0,4.0,2.0,1561,375.360850381067,1.3758072,103.94404355587632,pasir ris central,pasir ris,839000.0
9630,condo,freehold,2022.0,2.0,2.0,710,144.0,1.3013638,103.90131,marine parade,marine parade,1938300.0
9632,condo,99-year leasehold,2020.0,2.0,1.0,635,505.0,1.30705715,103.76849494985083,clementi woods,clementi,1260000.0
9633,hdb,99-year leasehold,1997.0,3.0,2.0,1313,122.0,1.3795693999999998,103.75791828677325,teck whye,choa chu kang,693000.0
9634,hdb,99-year leasehold,2013.0,3.0,2.0,990,815.0,1.4301287500000002,103.79059907524965,woodlands south,woodlands,546000.0
9635,terraced house,freehold,1999.0978260869565,5.0,6.0,5398,375.360850381067,1.3602446499999998,103.86511076372146,serangoon garden,serangoon,5985000.0
9636,executive condo,99-year leasehold,1999.0,3.0,3.0,1453,395.0,1.3978363,103.75101177471556,yew tee,choa chu kang,1365000.0
9637,condo,99-year leasehold,2010.0,3.0,3.0,1981,428.0,1.2796949,103.85520734773723,central subzone,downtown core,5964000.0
9638,hdb,99-year leasehold,1996.0,3.0,2.0,1162,375.360850381067,1.33393775,103.9072579526455,kaki bukit,bedok,670600.0
9640,condo,99-year leasehold,2023.0,4.0,4.0,1496,1074.0,1.304855,103.77377633404797,dover,queenstown,3361000.0
9641,hdb,99-year leasehold,1997.0,3.0,2.0,969,375.360850381067,1.4461163,103.7989883,woodlands east,woodlands,509200.0
9642,hdb,99-year leasehold,1976.0,2.0,2.0,700,375.360850381067,1.4421248,103.77666390797684,woodlands west,woodlands,372800.0
9643,condo,freehold,2024.0,4.0,3.0,1302,633.0,1.3393381,103.7638932,bukit batok south,bukit batok,2344600.0
9644,condo,freehold,2024.0,2.0,2.0,893,633.0,1.3396559,103.7686147,anak bukit,bukit timah,1932000.0
9645,semi-detached house,freehold,2013.7166666666667,6.0,6.0,4000,375.360850381067,1.3812132,103.8767881,seletar hills,serangoon,6090000.0
9646,condo,freehold,2023.0,3.0,3.0,958,638.0,1.3123637,103.80327091227252,farrer court,bukit timah,2536800.0
9647,hdb,99-year leasehold,2013.0,2.0,2.0,743,375.360850381067,1.2901627,103.82859299543463,bukit ho swee,bukit merah,721200.0
9648,hdb,99-year leasehold,1983.0,2.0,1.0,645,120.0,1.35216195,103.95170789233066,tampines east,tampines,388500.0
9649,condo,99-year leasehold,2024.0,3.0,3.0,1270,298.0,1.29988105,103.88811428633838,mountbatten,marine parade,3181500.0
9650,hdb,99-year leasehold,1972.0,2.0,1.0,624,145.0,1.3227281,103.8834832,macpherson,geylang,1155000.0
9651,condo,99-year leasehold,2017.0,1.0,1.0,571,416.0,1.3767773,103.75628466953452,gombak,bukit batok,777000.0
9652,condo,freehold,2024.0,2.0,2.0,689,200.0,1.2963944,103.89101386970906,mountbatten,marine parade,2129300.0
9653,hdb,99-year leasehold,2018.0,4.0,3.0,1302,810.0,1.3501015500000002,103.71190348015246,boon lay place,jurong west,850500.0
9654,hdb,99-year leasehold,1977.0,2.0,1.0,796,375.360850381067,1.31994945,103.7427607478827,teban gardens,jurong east,357000.0
9655,hdb,99-year leasehold,2017.0,2.0,2.0,731,1330.0,1.4020999,103.8927139,matilda,punggol,491400.0
9656,condo,99-year leasehold,2024.0,3.0,1.0,570,215.0,1.3533168,103.7896255,central water catchment,central water catchment,3705400.0
9657,condo,freehold,2014.0,3.0,3.0,2562,272.0,1.3014187,103.84864400990352,mount emily,rochor,3780000.0
9658,hdb,99-year leasehold,2009.0,3.0,2.0,980,375.360850381067,1.3346578,103.84816089390364,toa payoh central,toa payoh,903000.0
9659,semi-detached house,freehold,2025.0,7.0,7.0,6376,6.0,1.30062,103.892783,mountbatten,marine parade,9834300.0
9660,condo,99-year leasehold,2000.0,4.0,4.0,3025,655.0,1.35548985,103.75253356400115,guilin,bukit batok,2514800.0
9661,condo,99-year leasehold,2026.0,2.0,2.0,732,605.0,1.3859375,103.8344656879244,tagore,ang mo kio,1575000.0
9662,hdb,99-year leasehold,2004.0,3.0,2.0,1184,375.360850381067,1.3200708,103.85914718510696,bendemeer,kallang,955500.0
9663,apartment,freehold,1989.0,3.0,2.0,1270,12.0,1.3172584,103.9253451,frankel,bedok,1921500.0
9664,condo,99-year leasehold,2021.0,1.0,1.0,495,130.0,1.4562856000000002,103.83694427710216,sembawang straits,sembawang,827400.0
9665,hdb,99-year leasehold,1969.0,2.0,1.0,721,375.360850381067,1.3391920000000002,103.85447745,lorong 8 toa payoh,toa payoh,420000.0
9666,hdb,99-year leasehold,1985.0,2.0,2.0,689,96.0,1.35282145,103.86864658170438,serangoon central,serangoon,472500.0
9667,hdb executive,99-year leasehold,1980.0,4.0,4.0,1464,375.360850381067,1.3299811,103.92392410902852,bedok north,bedok,1065800.0
9668,hdb,99-year leasehold,1993.0,3.0,2.0,1098,375.360850381067,1.3664174999999998,103.83939388578352,shangri-la,ang mo kio,609000.0
9669,condo,freehold,2013.0,1.0,1.0,409,161.0,1.3176709,103.90895879763085,frankel,bedok,670800.0
9670,hdb,99-year leasehold,2013.0,2.0,2.0,807,375.360850381067,1.31027885,103.77076171925694,clementi woods,clementi,669900.0
9671,condo,99-year leasehold,2026.0,2.0,2.0,753,448.0,1.44002835,103.82774103667388,sembawang springs,sembawang,1071000.0
9672,semi-detached house,freehold,2019.0,5.0,6.0,5789,80.0,1.46158175,103.83949906633782,sembawang straits,sembawang,3675000.0
9673,hdb,99-year leasehold,2004.0,3.0,2.0,1184,375.360850381067,1.4549836,103.8174025,sembawang north,sembawang,627900.0
9674,apartment,99-year leasehold,2023.0,3.0,2.0,1173,455.0,1.3027702,103.8694351,tanjong rhu,kallang,3184600.0
9675,hdb executive,99-year leasehold,2001.0,3.0,1.0,1399,103.0,1.38775885,103.7641263869308,saujana,bukit panjang,942900.0
9676,executive condo,99-year leasehold,2017.0,3.0,3.0,1098,525.0,1.4170170999999998,103.84503465472268,lower seletar,yishun,1207500.0
9678,condo,99-year leasehold,2024.0,3.0,2.0,1119,298.0,1.29988105,103.88811428633838,mountbatten,marine parade,2443400.0
9680,terraced house,99-year leasehold,2013.0,4.0,4.0,3056,119.0,1.38772155,103.85533387252032,yio chu kang east,ang mo kio,3024000.0
9681,condo,99-year leasehold,2026.0,4.0,3.0,1959,696.0,1.29142015,103.84426811480154,clarke quay,singapore river,5821200.0
9682,hdb,99-year leasehold,2012.0,3.0,2.0,1022,375.360850381067,1.3053821,103.78190340834242,dover,queenstown,734000.0
9683,executive condo,99-year leasehold,2014.0,3.0,3.0,1023,540.0,1.38077575,103.90124286700012,rivervale,sengkang,1342800.0
9684,condo,99-year leasehold,2026.0,5.0,5.0,1679,407.0,1.3113226999999998,103.85247580094573,kampong java,kallang,3347400.0
9687,condo,99-year leasehold,2022.0,1.0,1.0,700,192.0,1.30358825,103.82516875239632,tanglin,orchard,2475900.0
9688,hdb,99-year leasehold,1986.0,3.0,2.0,1410,90.0,1.4376768,103.8315833,yishun west,yishun,722400.0
9689,hdb,99-year leasehold,2015.0,3.0,2.0,1205,375.360850381067,1.3872543,103.7597827,senja,bukit panjang,756000.0
9690,condo,freehold,2026.0,3.0,2.0,1001,25.0,1.3154751,103.8411131,moulmein,novena,2764600.0
9691,hdb,99-year leasehold,1987.0,4.0,2.0,1560,375.360850381067,1.31643455,103.88548557303363,aljunied,geylang,997500.0
9692,condo,freehold,2023.0,3.0,2.0,958,638.0,1.3123637,103.80327091227252,farrer court,bukit timah,2893800.0
9693,semi-detached house,freehold,1970.0,9.0,6.0,9393,375.360850381067,1.385878,103.8789567,trafalgar,hougang,6300000.0
9694,hdb,99-year leasehold,1990.0,2.0,2.0,786,375.360850381067,1.4361781,103.7722135,woodlands west,woodlands,417900.0
9695,hdb,99-year leasehold,1994.0,3.0,2.0,1316,375.360850381067,1.43149315,103.77890112630892,woodgrove,woodlands,617400.0
9696,semi-detached house,freehold,2013.0,3.0,2.0,1500,375.360850381067,1.3870489,103.872999,seletar hills,serangoon,4725000.0
9697,condo,freehold,2022.0,2.0,2.0,710,144.0,1.3013638,103.90131,marine parade,marine parade,2008600.0
9698,hdb,99-year leasehold,2015.0,3.0,2.0,1216,960.0,1.35785365,103.93884363212943,tampines east,tampines,795900.0
9700,bungalow,freehold,2014.0,6.0,6.0,7015,375.360850381067,1.3171727,103.922284,frankel,bedok,8715000.0
9701,condo,99-year leasehold,2011.0,5.0,2.0,6835,1129.0,1.2667184,103.811492599035,maritime square,bukit merah,19740000.0
9702,condo,freehold,2023.0,2.0,1.0,614,638.0,1.3123637,103.80327091227252,farrer court,bukit timah,2100000.0
9704,apartment,99-year leasehold,2011.0,4.0,4.0,2680,151.0,1.23962095,103.83771301051394,sentosa,southern islands,6331500.0
9705,hdb,99-year leasehold,2017.0,2.0,2.0,731,1057.0,1.3949801,103.9107893,punggol field,punggol,525000.0
9706,condo,freehold,2025.0,3.0,3.0,1227,230.0,1.31730585,103.83260746060152,nassim,tanglin,4095000.0
9707,hdb,99-year leasehold,2018.0,3.0,2.0,1001,405.0,1.3249096,103.85559309602272,balestier,novena,933300.0
9708,condo,99-year leasehold,1986.0,3.0,3.0,2023,1000.0,1.3069911,103.92461093736358,siglap,bedok,2730000.0
9709,condo,freehold,2021.2354166666667,3.0,2.0,1173,120.0,1.3129422000000002,103.84155234754564,moulmein,novena,3247600.0
9710,condo,freehold,2013.0,2.0,1.0,732,152.0,1.3014464,103.8475511859262,mount emily,rochor,1417500.0
9712,executive condo,99-year leasehold,2016.0,3.0,2.0,1087,653.0,1.432231,103.79930106701984,woodlands south,woodlands,1312500.0
9713,condo,99-year leasehold,2026.0,4.0,2.0,1302,448.0,1.44002835,103.82774103667388,sembawang springs,sembawang,1785000.0
9714,hdb,99-year leasehold,1973.0,3.0,2.0,936,375.360850381067,1.3414027,103.85106973394636,braddell,toa payoh,525000.0
9716,condo,freehold,2025.0,4.0,3.0,1227,34.0,1.3136277,103.8831086,aljunied,geylang,2254600.0
9718,terraced house,freehold,1996.0,5.0,5.0,3200,55.0,1.33343305,103.76993175170723,anak bukit,bukit timah,4515000.0
9719,hdb,99-year leasehold,1971.0,2.0,2.0,710,140.0,1.33378855,103.72410629752125,taman jurong,jurong west,302400.0
9720,hdb,99-year leasehold,1969.0,2.0,1.0,753,375.360850381067,1.307525,103.79915115,commonwealth,queenstown,386400.0
9721,hdb,99-year leasehold,2016.0,3.0,2.0,990,682.0,1.3745033,103.7434393058213,keat hong,choa chu kang,577500.0
9722,condo,99-year leasehold,2026.0,3.0,3.0,1076,407.0,1.31064045,103.85214926006608,kampong java,kallang,2475900.0
9723,condo,freehold,2018.0,1.0,1.0,527,230.0,1.2962878,103.83628768302292,leonie hill,river valley,1739800.0
9724,hdb executive,99-year leasehold,1992.0,4.0,3.0,1582,375.360850381067,1.3759611,103.8898834,hougang west,hougang,945000.0
9725,condo,freehold,2022.0,4.0,2.0,1281,250.0,1.3443339,103.8786904,upper paya lebar,serangoon,2823400.0
9726,condo,99-year leasehold,2024.0,2.0,1.0,635,522.0,1.29773195,103.8559134735316,bugis,downtown core,1886800.0
9727,condo,freehold,2026.0,4.0,3.0,1259,137.0,1.3159484,103.8575892,lavender,kallang,2331000.0
9729,condo,freehold,2021.0,3.0,3.0,1227,80.0,1.3455515,103.8815143,upper paya lebar,serangoon,2698500.0
9730,condo,freehold,2022.0,2.0,2.0,657,115.0,1.3165593,103.8298930092109,nassim,tanglin,2012000.0
9731,semi-detached house,freehold,2015.3617021276596,4.0,3.0,3000,375.360850381067,1.3223178,103.786539,holland road,bukit timah,10500000.0
9732,cluster house,99-year leasehold,2016.0,5.0,5.0,3175,62.0,1.3310043,103.8073633,hillcrest,bukit timah,4847600.0
9733,condo,freehold,2022.0,2.0,2.0,743,52.0,1.3157947,103.8320962933791,nassim,tanglin,1995000.0
9734,condo,99-year leasehold,2026.0,3.0,4.0,1421,351.0,1.2739587,103.84363531310518,anson,downtown core,3957400.0
9735,condo,freehold,2023.0,4.0,4.0,1378,340.0,1.3159611,103.836848,moulmein,novena,4399500.0
9736,condo,99-year leasehold,2022.0,2.0,1.0,635,1399.0,1.3178829,103.90317670322858,geylang east,geylang,1522500.0
9737,hdb executive,99-year leasehold,1989.0,4.0,2.0,1539,90.0,1.34120485,103.68520627955672,yunnan,jurong west,748800.0
9738,condo,freehold,2014.0,4.0,4.0,2476,156.0,1.31123915,103.82815366202816,orange grove,newton,7875000.0
9739,condo,99-year leasehold,2004.0,2.0,2.0,883,756.0,1.36432355,103.83166833259988,upper thomson,bishan,1365000.0
9740,condo,99-year leasehold,2026.0,3.0,3.0,1421,351.0,1.2739587,103.84363531310518,anson,downtown core,4184200.0
9741,hdb,99-year leasehold,1980.0,2.0,2.0,680,375.360850381067,1.3720323,103.85760484542894,cheng san,ang mo kio,420000.0
9742,condo,99-year leasehold,2023.0,2.0,2.0,753,1410.0,1.36679605,103.8865753660334,kovan,hougang,1522500.0
9743,hdb,99-year leasehold,1980.0,3.0,2.0,979,375.360850381067,1.37873095,103.83694926889964,yio chu kang west,ang mo kio,577500.0
9744,condo,freehold,2024.0,1.0,1.0,527,60.0,1.30397875,103.82269161887947,chatsworth,tanglin,1823800.0
9745,cluster house,99-year leasehold,2013.0,3.0,3.0,1692,119.0,1.38772155,103.85533387252032,yio chu kang east,ang mo kio,3094500.0
9746,condo,99-year leasehold,2024.0,3.0,3.0,1270,298.0,1.29988105,103.88811428633838,mountbatten,marine parade,2717400.0
9747,condo,freehold,2017.0,5.0,4.0,2551,136.0,1.31651885,103.75757090557371,west coast,clementi,2887500.0
9748,hdb,99-year leasehold,1980.0,2.0,2.0,785,375.360850381067,1.4433742500000002,103.77292601812522,north coast,woodlands,399000.0
9750,condo,99-year leasehold,2018.0,3.0,3.0,1518,1042.0,1.2761249,103.8532534,central subzone,downtown core,4122000.0
9751,hdb,99-year leasehold,2001.0,3.0,2.0,1205,91.0,1.3371905,103.7007551491638,jurong west central,jurong west,609000.0
9752,condo,99-year leasehold,2015.0,2.0,2.0,1216,1723.0,1.31525305,103.80335348540277,farrer court,bukit timah,2257500.0
9753,condo,99-year leasehold,2018.0,4.0,3.0,1195,1165.0,1.3745655499999998,103.90339457083743,kangkar,hougang,1942500.0
9754,hdb,99-year leasehold,2017.0,3.0,2.0,1205,495.0,1.3504985,103.73926079691805,brickworks,bukit batok,879900.0
9755,hdb,99-year leasehold,2013.0,3.0,2.0,1001,375.360850381067,1.3843386999999998,103.89936276434848,sengkang town centre,sengkang,533400.0
9756,hdb,99-year leasehold,1978.0,3.0,2.0,1043,130.0,1.3114155,103.7697271476529,clementi woods,clementi,585900.0
9757,hdb,99-year leasehold,1969.0,2.0,1.0,645,375.360850381067,1.3012061,103.8829006,tanjong rhu,kallang,336000.0
9758,condo,freehold,2025.0,2.0,1.0,570,319.0,1.310429,103.80282102340084,leedon park,bukit timah,1802500.0
9759,condo,freehold,1998.0,1.0,1.0,592,30.0,1.3270894,103.8682183,geylang bahru,kallang,879900.0
9761,condo,freehold,2016.0,4.0,4.0,3423,130.0,1.2985638,103.88440785352569,tanjong rhu,kallang,8925000.0
9762,semi-detached house,freehold,2012.5151515151515,4.0,3.0,4950,375.360850381067,1.3598047,103.7587646,hillview,bukit batok,5544000.0
